"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"4528","Q15287","RNPS1_HUMAN","RNPS1",NA,125826000,128010000,116075000,93012000,105630000,116989000,118995000,94867700,96323200,102505000,120492000,126221000,120247000,123470000,120695000,117903000,133804000,113001000,111939000,116184000,120804000,102054000,125612000,100444000,88849800,122134000,103510000
"4529","Q15291","RBBP5_HUMAN","RBBP5",NA,10736400,11211200,10663400,13198800,8050960,12969400,13103600,12443200,10868900,8534490,12782600,12474700,11562400,13431700,13891100,14805800,11727100,13631900,12804600,14836700,12047700,11133000,13170200,14112500,13786000,12198000,10508600
"4530","Q15293","RCN1_HUMAN","RCN1",NA,39418900,27357200,28785900,20646800,51726600,51983700,34997000,23648700,41947700,23912600,27713900,26842300,19511200,21726200,20375400,20233800,21035200,15094700,17139700,44113900,43307700,38445800,50846700,54041200,48522900,38097700,37545100
"4531","Q15306","IRF4_HUMAN","IRF4",NA,NA,NA,NA,4102840,NA,NA,NA,NA,NA,NA,NA,NA,4610650,4650510,3851920,4528220,4029450,4343660,5080920,NA,NA,NA,NA,NA,NA,NA,NA
"4532","Q15311","RBP1_HUMAN","RALBP1",NA,8681270,7798790,8747840,7146450,11533900,11555800,8677900,9840710,8072090,9420640,8011260,8415340,7662960,6959540,7068060,7271240,6661130,7194680,6555300,9259380,10478100,10436100,9465780,12256300,10521800,10515900,11273100
"4533","Q15326","ZMY11_HUMAN","ZMYND11",NA,2136420,2251150,2154380,740047,3283640,3404130,2234370,2084170,3271310,3055230,2644480,2580230,1196880,1138960,NA,1048010,1129040,1223410,1133630,4270170,3761890,4063160,3763120,3976600,2934850,4656240,4802150
"4534","Q15334","L2GL1_HUMAN","LLGL1",NA,2077420,2394470,2935610,3705070,3625860,3014370,1940400,2499970,2312800,2542570,2501360,2377180,4023700,4166520,4480720,3952090,3773460,3502870,3785530,3406600,3543260,3373500,3979000,3079000,3076000,2898740,3189290
"4535","Q15345","LRC41_HUMAN","LRRC41",NA,3496360,3586850,4070140,7573140,8437230,9441690,4053830,4047930,4765170,3809100,3549430,3547100,8267790,7378140,8390090,9026620,8972680,8713260,8058250,11243900,11432500,10303300,9465810,9359500,8182690,9562580,8606620
"4536","Q15361","TTF1_HUMAN","TTF1",NA,2082140,1776760,2264520,1923630,2039820,1805490,1846200,1781590,2328230,2534230,1656560,1405200,2190290,1522100,2102080,1772320,2070780,1788470,2214160,1623280,2565490,2155170,1981070,1622680,1803520,1973280,2112070
"4537","Q15363","TMED2_HUMAN","TMED2",NA,46194300,48189000,49493500,70337500,41824700,63285400,55158000,50125200,36992700,46069800,58799400,52560600,57356800,78305600,75323700,73631700,61066300,61917700,62485800,51364600,43848500,57490800,42158500,62112600,40615300,50481300,58026800
"4538","Q15365","PCBP1_HUMAN","PCBP1",NA,909618000,946894000,870543000,961920000,1163880000,1302150000,941785000,928679000,1030350000,897187000,905501000,952173000,1059090000,1062240000,972519000,939084000,996461000,954251000,1024040000,1317710000,1244700000,1235190000,1280060000,1154960000,1065880000,1545280000,1395280000
"4539","Q15366","PCBP2_HUMAN","PCBP2",NA,947768000,1034470000,977713000,1224720000,972370000,952654000,1009610000,1005680000,1099170000,1110190000,1044540000,1025190000,1424800000,1237370000,1098510000,1127850000,1287720000,1285060000,1404440000,1140520000,1106670000,1110380000,1048150000,1015950000,1018840000,1167210000,1107030000
"4540","Q15369","ELOC_HUMAN","ELOC",NA,129555000,135654000,137579000,160969000,165049000,142135000,129378000,130074000,145375000,125875000,119271000,115335000,144973000,155436000,146302000,149174000,141524000,121969000,147455000,116106000,159945000,162275000,136717000,106001000,104743000,122999000,152173000
"4541","Q15370","ELOB_HUMAN","ELOB",NA,175834000,162349000,164786000,231180000,167482000,162622000,188455000,158788000,152916000,124573000,186737000,181015000,209094000,229302000,235794000,235056000,220090000,196865000,201402000,177285000,196680000,166125000,170785000,180352000,158518000,151781000,162095000
"4542","Q15382","RHEB_HUMAN","RHEB",NA,14899800,14387600,18430100,20382900,19087400,18259800,17465600,17983900,16917500,16814900,14418700,15687400,13209900,13836600,17942000,18890500,16197600,19465500,16747200,15846200,15284800,14566900,15315500,17559000,14705900,22295500,17588600
"4543","Q15386","UBE3C_HUMAN","UBE3C",NA,22359800,21971600,21179700,30497000,27951700,30180700,23286600,21152000,20119900,17805600,21911000,21885700,29668500,28654700,28285200,27885400,26293500,31930500,29196300,31507800,26408400,26845300,29710300,33962700,34582900,26575200,25037900
"4544","Q15388","TOM20_HUMAN","TOMM20",NA,107103000,114778000,108025000,99262600,70064000,104848000,122800000,107653000,83135100,81138900,125955000,137403000,74859400,91517500,82972100,84892200,85932100,80509100,85514800,111505000,81593700,80966400,78520700,115288000,98999800,98938000,76562300
"4545","Q15390","MTFR1_HUMAN","MTFR1",NA,5653630,5413150,4876670,4476730,3962810,2461400,5371500,5135830,6444620,4204580,5328250,5420460,5990480,4701380,5433320,5253740,5770100,4246020,4005420,3982770,2929830,3561700,4040660,2955050,4121940,2680770,2553490
"4546","Q15391","P2Y14_HUMAN","P2RY14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4547","Q15392","DHC24_HUMAN","DHCR24",NA,9581680,8347480,10389400,17015100,10954500,15909000,12742900,10604000,13490100,9580130,9174510,9045160,20665800,20104000,18348800,29060300,22670200,18175200,18254600,9253420,8116850,7508070,15826900,10545400,10956500,13626900,11818400
"4548","Q15393","SF3B3_HUMAN","SF3B3",NA,92808700,94868700,91762900,82932000,96202100,103596000,104735000,85771800,79281200,88426600,101957000,100814000,93641300,91833400,91627300,97894200,93155400,107912000,94945600,122138000,101679000,107329000,116210000,115350000,116405000,98460900,97384000
"4549","Q15397","PUM3_HUMAN","PUM3",NA,48091300,56810000,49584200,23356600,52252500,45635300,45895300,44483700,51366600,61532300,45748100,47530900,31658600,29269300,26175500,22589300,39253800,42626300,40797400,47850200,47216600,55519800,51692100,36578400,42877400,61140700,58866100
"4550","Q15398","DLGP5_HUMAN","DLGAP5",NA,7278960,7591430,7145850,5462260,3549350,6457140,6002960,10443700,9124660,8927740,8655950,8942410,5376760,5329430,5578030,3677750,5866790,4949190,6303560,6876340,7180500,6094530,5700620,5296780,3642120,8117310,7981030
"4551","Q15404","RSU1_HUMAN","RSU1",NA,30539000,24523900,30468600,22473800,38334900,31593300,30327000,34745400,35411700,32405900,25842400,26352300,22367600,23552800,18991900,19578200,22378100,21164700,20799200,32389600,32710200,35283300,34747700,30139700,36763500,35141400,38910600
"4552","Q15417","CNN3_HUMAN","CNN3",NA,113739000,94828000,80743800,117200000,63502900,56213300,109888000,86011500,85110400,90820100,98745100,98595400,169171000,164929000,144284000,148101000,138405000,132732000,138476000,55735800,49066100,52425700,50044900,75543100,59923300,52419600,56304500
"4553","Q15418","KS6A1_HUMAN","RPS6KA1",NA,108843000,98096000,90462700,85449500,118668000,102467000,116330000,95670900,115639000,89253000,99470200,97192000,85827800,89324800,80708000,79771000,79327300,72845400,79682100,117684000,122300000,111046000,104320000,144218000,128713000,91126500,90472700
"4554","Q15424","SAFB1_HUMAN","SAFB",NA,143595000,142547000,145138000,123355000,114830000,125475000,134373000,128351000,124923000,135747000,150417000,139794000,110089000,112848000,162856000,144756000,130277000,108196000,111648000,107803000,111504000,104626000,96378500,120998000,108732000,110356000,115413000
"4555","Q15427","SF3B4_HUMAN","SF3B4",NA,105122000,90076400,96887900,97477000,69425700,72150700,115531000,89442100,91171900,82860800,99142400,94507800,83404600,97147700,99093700,152748000,97091800,69181100,69186700,68236900,77442300,66620900,68198000,75531100,64861200,70098200,75265700
"4556","Q15428","SF3A2_HUMAN","SF3A2",NA,145982000,148221000,146442000,119999000,1.11e+08,120999000,150558000,143480000,128859000,141744000,147052000,149504000,137192000,136453000,144055000,141730000,148718000,132294000,128323000,120037000,128988000,119530000,123437000,117426000,103486000,114444000,110130000
"4557","Q15434","RBMS2_HUMAN","RBMS2",NA,5536930,3569290,5351430,3483690,6419900,5350180,5948960,5222440,8934400,5567730,4983500,5049390,3502650,2762440,2319790,2934400,NA,2815590,4215730,7029180,6861240,7734150,8147360,7012660,5990140,7170800,9097110
"4558","Q15435","PP1R7_HUMAN","PPP1R7",NA,85324500,73424100,78585000,80330900,97874000,80213200,84167000,85413200,89501500,82631800,72080000,75814200,94802700,90540600,86631300,102164000,84417300,74949000,73007400,74955600,79414500,84518600,72844800,87797100,78043500,74857400,80714100
"4559","Q15436","SC23A_HUMAN","SEC23A",NA,25986200,25235800,22017700,34517000,19701300,34436300,24590600,20464000,18442400,19172200,22485600,23516100,36067100,34165800,33389500,40975200,33885000,37208600,33899200,26317500,29154600,26515500,22789500,27295400,17598200,30207800,27410600
"4560","Q15437","SC23B_HUMAN","SEC23B",NA,130082000,126400000,132759000,142881000,104631000,129828000,142793000,129200000,120632000,109478000,138607000,132305000,131542000,145307000,126016000,154825000,121036000,135017000,127876000,109543000,104318000,102517000,111774000,121746000,125465000,112180000,110167000
"4561","Q15438","CYH1_HUMAN","CYTH1",NA,11883400,7738760,10757100,7217300,26179200,16299100,11348800,9427930,11590400,9575550,7608200,6785410,8341590,6813140,7781060,6069020,7787290,7317680,7373500,21279200,20088300,20618500,22222600,20141000,21404200,15749500,14994300
"4562","Q15459","SF3A1_HUMAN","SF3A1",NA,135415000,129200000,139659000,122695000,99601600,107537000,141946000,129340000,125617000,134536000,137653000,128831000,137075000,143814000,133855000,138116000,144181000,141421000,133657000,120779000,110589000,104056000,112511000,116593000,103467000,118461000,111285000
"4563","Q15464","SHB_HUMAN","SHB",NA,551165,656265,811307,336974,NA,1065110,843171,983920,NA,NA,776141,667130,NA,595933,640985,446887,NA,NA,NA,NA,NA,NA,NA,1192970,999233,NA,NA
"4564","Q15468","STIL_HUMAN","STIL",NA,1304010,1517900,1086350,1344100,1309480,915676,1394720,1946370,1454570,1628890,1566670,1804570,1487040,1405960,1746990,1375970,1770500,1688460,1956790,1226680,1233940,NA,1285100,NA,NA,1420020,1604860
"4565","Q15475","SIX1_HUMAN","SIX1",NA,NA,NA,1272180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4566","Q15477","SKI2_HUMAN","SKIC2",NA,18799500,22553900,20723000,18621200,17777800,17427000,16666100,23214700,22924000,18064000,20551900,21020800,19798800,17174900,18784000,20030900,17720100,17827200,17594800,15355300,14678800,13799200,15873000,15622300,19747400,16496000,17143000
"4567","Q15493","RGN_HUMAN","RGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071040,NA,NA,NA,NA,NA,1099030,NA,NA,NA
"4568","Q15506","SP17_HUMAN","SPA17",NA,1077250,802769,NA,NA,1680840,2459440,612189,NA,NA,869940,NA,741258,1041390,NA,1100770,NA,1116810,978002,1062910,2112200,1998790,1342360,2287590,1514320,NA,2350930,2100210
"4569","Q15517","CDSN_HUMAN","CDSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83855.2,NA,NA,NA
"4570","Q15526","SURF1_HUMAN","SURF1",NA,1930570,2475970,2595790,12418900,3232470,4211890,2409920,2140780,2275520,NA,2307620,1811900,11146900,11350300,10063800,11819100,9356700,12803300,10068600,3612470,3802570,3805980,4430170,3252250,3604630,5411940,3345200
"4571","Q15527","SURF2_HUMAN","SURF2",NA,5866550,5586720,6608950,4226700,5318920,4741460,5807610,5967000,5132650,6705570,5581290,5851680,2974710,4046540,4040220,4208310,4667950,4421290,4174520,5178070,5464860,5686290,5619350,4178360,4530310,4124800,4346580
"4572","Q15528","MED22_HUMAN","MED22",NA,13598700,12969000,14093800,14611900,12976400,13260700,13222500,14270600,13792400,14878200,14289100,12882800,14374500,14699400,14920300,15921900,16913400,12902600,14031500,13887300,12498700,12934600,14786900,13588500,14072400,13534500,12875000
"4573","Q15532","SSXT_HUMAN","SS18",NA,16334400,15842600,15482200,17976000,14192100,17305700,14461000,16062000,14920600,15325800,14171900,13154700,14917900,15434500,20741100,18315100,16102700,15426900,14306400,16834500,14600500,13922900,17247300,14537200,15831700,13629000,15260400
"4574","Q15542","TAF5_HUMAN","TAF5",NA,5148340,5994540,4793510,4525580,5717480,4356530,5790820,5302200,5553260,6044280,4864130,5429500,5976610,6207410,5593540,4031680,5296400,6650620,6246020,5654820,5394980,6026420,5633720,5969540,5057220,5669840,5343450
"4575","Q15543","TAF13_HUMAN","TAF13",NA,2959510,2178580,2118640,2731250,3235700,2623760,2100430,1911430,3108780,2841820,2154030,2320540,2843820,2175680,2482800,2721220,3027260,2987280,2954330,2943520,2938630,2975040,2291800,2409800,2323870,2682770,3400280
"4576","Q15544","TAF11_HUMAN","TAF11",NA,NA,NA,NA,NA,863475,719471,NA,NA,842118,783502,663298,NA,469349,601925,917415,866381,474384,538723,716193,1033840,1205970,819590,778577,683468,876386,856465,907220
"4577","Q15545","TAF7_HUMAN","TAF7",NA,9252110,7444270,10446600,12552500,9548830,9962940,8426090,9526850,7812580,7476320,9020740,8972600,13955200,11843100,14461400,14838100,13455200,12471900,11008600,9710170,10379900,7475540,10020200,10905800,11397400,8824120,8426080
"4578","Q15554","TERF2_HUMAN","TERF2",NA,16110500,14846800,13057500,13889600,15438800,12852100,15807500,15589700,15255000,19115500,15358700,15270000,19119300,17728200,15198500,16367200,17382600,17465400,17654400,15347000,15567400,17556200,14234300,13244600,12682700,16249300,16601600
"4579","Q15555","MARE2_HUMAN","MAPRE2",NA,24197000,19431500,23809600,26993500,38861900,29584400,23687100,21934300,27213500,20804200,17637400,18361300,30104400,25260900,23284100,18252800,22075700,23698800,20999700,30727700,32980800,32988100,30510100,40052700,35409700,28937400,28255600
"4580","Q15561","TEAD4_HUMAN","TEAD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403154,NA,NA,NA
"4581","Q15562","TEAD2_HUMAN","TEAD2",NA,1671600,NA,NA,NA,NA,1187880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718561,NA,NA,NA,NA,NA,NA,NA,NA
"4582","Q15572","TAF1C_HUMAN","TAF1C",NA,974425,NA,1110800,NA,2560750,2507090,1187310,NA,1923180,1082590,NA,1194670,NA,NA,NA,NA,NA,NA,NA,2339140,2566000,3098270,2698800,1955370,2778950,3025130,3392820
"4583","Q15573","TAF1A_HUMAN","TAF1A",NA,514594,NA,408156,NA,729128,912139,NA,294055,872777,360618,235936,351062,NA,NA,NA,NA,NA,NA,NA,920555,1061040,1303790,898844,990934,1039430,1222470,1396140
"4584","Q15582","BGH3_HUMAN","TGFBI",NA,NA,NA,NA,NA,1943170,3867020,NA,NA,NA,NA,NA,NA,4538410,2346040,2774780,NA,2583510,NA,NA,4913390,5081960,4596310,2423600,NA,NA,2125710,2336150
"4585","Q15583","TGIF1_HUMAN","TGIF1",NA,1083850,1856840,NA,1586100,1728920,2116330,NA,1277470,1660140,1994690,1481210,2356090,1416660,NA,NA,1042010,1699040,1498930,1325670,1957970,1835640,2010960,1270470,1630340,1345140,1946540,2064850
"4586","Q15596","NCOA2_HUMAN","NCOA2",NA,7004380,6872470,9124560,3121380,4021950,5678090,6313450,8572440,7740360,6117070,7062680,6003050,2077370,2910100,2926210,4322420,3667830,2301150,2300070,4680860,3698160,3945130,4751480,4609180,3645690,4849410,4882500
"4587","Q15599","NHRF2_HUMAN","NHERF2",NA,2360150,2995000,2440200,NA,NA,NA,2170100,2504710,2602400,2715280,3191240,2991580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4588","Q155Q3","DIXC1_HUMAN","DIXDC1",NA,1016500,1447530,966319,NA,1358010,1185500,930264,1142910,1040850,1103950,1032740,1144730,NA,NA,213565,NA,NA,NA,NA,1296490,1215780,1373130,1230480,1467890,1401220,824881,983548
"4589","Q15612","OR1Q1_HUMAN","OR1Q1",NA,NA,NA,NA,NA,NA,94454.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4590","Q15617","OR8G1_HUMAN","OR8G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4591","Q15619","OR1C1_HUMAN","OR1C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4592","Q15628","TRADD_HUMAN","TRADD",NA,8042880,8931040,8772560,13766700,6262740,7230200,11912900,11544000,6491030,7280590,13480900,12853700,12706400,16998300,16159700,17610200,12468900,12700000,11726800,5390120,7676480,7083860,5917620,7950260,4427180,6201850,6880080
"4593","Q15629","TRAM1_HUMAN","TRAM1",NA,20346100,20009500,20657500,16729600,14377100,12778800,26268700,24610500,21424100,15894500,24703800,23502800,13399200,13449100,16590500,19722100,13772800,15298500,15844000,13888300,11530300,13253000,14233100,17981300,15982500,11084600,11597400
"4594","Q15631","TSN_HUMAN","TSN",NA,87621000,81137300,92570800,103718000,44356800,70276400,84703900,79984600,76064200,61920600,88381600,80894500,79783600,92882600,109992000,104448000,84358200,94958000,93481800,59931300,40134200,56484100,53313800,70264200,58670500,57910600,60572000
"4595","Q15633","TRBP2_HUMAN","TARBP2",NA,4667440,5756470,6378920,8107990,4140580,5867490,4550380,5568240,5381540,7039910,5064460,5706660,8703910,6980970,6988040,6279160,6622060,7727640,7241630,4697780,5599480,5718390,5417300,5818890,4759680,6290340,6013820
"4596","Q15637","SF01_HUMAN","SF1",NA,152180000,149761000,174124000,183689000,112735000,144726000,159878000,178054000,138317000,156677000,172798000,154302000,134925000,145174000,169048000,171894000,140896000,134487000,146258000,115524000,97824400,121563000,105870000,125982000,103539000,103970000,124111000
"4597","Q15642","CIP4_HUMAN","TRIP10",NA,4749030,3903600,4241360,8166730,4463510,1378450,4109490,3243680,3673550,4718370,2868170,3011870,14157400,11085000,10300200,5737750,10495500,8281760,7100980,2734590,3122780,2600050,2111400,3034290,2049590,1572850,1296910
"4598","Q15643","TRIPB_HUMAN","TRIP11",NA,10471900,12044900,11756700,9953970,9993320,11357500,10225400,12161200,7773460,11858900,11017000,12115300,12058400,10490500,9747410,9353880,10694000,9803360,10495800,9427020,9922780,10191500,8997610,9390870,7820060,11255500,11270700
"4599","Q15645","PCH2_HUMAN","TRIP13",NA,32610300,30562200,50184100,24244400,21804000,24533600,34718000,40555600,34199600,32094000,32986700,31323900,26246100,28940300,27995400,20543400,22777600,24976200,23788400,29609200,34144900,22487200,31290900,35693600,29366300,21530200,23640000
"4600","Q15646","OASL_HUMAN","OASL",NA,NA,NA,NA,NA,5560020,2541220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6088890,3707930,2818340,40162900,8261360,5024420,2098410,2393790
"4601","Q15648","MED1_HUMAN","MED1",NA,10259700,9948280,9291920,9524700,10383600,9932350,9542550,8958630,10246900,10829500,10479600,10799100,10788400,10576600,11184700,10580900,11402600,10445000,10782800,9707070,9518610,10460300,10313200,10336000,10113600,11044400,10830400
"4602","Q15649","ZNHI3_HUMAN","ZNHIT3",NA,6115910,5235920,5085950,4731550,4656600,4144950,5902040,6509040,5483220,6921890,5735820,5645200,4410530,4678660,4779970,4174730,4799360,6031300,5096860,4564790,5023800,4615800,5129780,4334510,5614240,5254540,4661390
"4603","Q15650","TRIP4_HUMAN","TRIP4",NA,11719200,10715700,10547600,9110100,10862400,10348200,13202600,11342400,12420400,13532600,9511860,11676300,12554900,10623000,12399000,12313000,11476000,11220100,10087700,9437900,9104340,11725800,8776790,9354850,9912700,10897500,11777700
